cellular response to interleukin-3:biological_process;'cellular response to interleukin-3:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
interleukin-5-mediated signaling pathway:biological_process;'interleukin-5-mediated signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
collagen-activated signaling pathway:biological_process;'collagen-activated signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
interleukin-3-mediated signaling pathway:biological_process;'interleukin-3-mediated signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
granulocyte-macrophage colony-stimulating factor signaling pathway:biological_process;'granulocyte-macrophage colony-stimulating factor signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of T cell proliferation:biological_process;'positive regulation of T cell proliferation:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of protein import into nucleus:biological_process;'positive regulation of protein import into nucleus:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of tyrosine phosphorylation of STAT protein:biological_process;'positive regulation of tyrosine phosphorylation of STAT protein:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
activation of Janus kinase activity:biological_process;'activation of Janus kinase activity:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
negative regulation of DNA binding:biological_process;'negative regulation of DNA binding:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of MAPK cascade:biological_process;'positive regulation of MAPK cascade:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
negative regulation of neuron apoptotic process:biological_process;'negative regulation of neuron apoptotic process:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
post-translational protein modification:biological_process;'post-translational protein modification:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of MHC class II biosynthetic process:biological_process;'positive regulation of MHC class II biosynthetic process:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
regulation of nitric oxide biosynthetic process:biological_process;'regulation of nitric oxide biosynthetic process:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of nitric oxide biosynthetic process:biological_process;'positive regulation of nitric oxide biosynthetic process:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of cell differentiation:biological_process;'positive regulation of cell differentiation:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of transcription by RNA polymerase II:biological_process;'positive regulation of transcription by RNA polymerase II:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
regulation of receptor signaling pathway via JAK-STAT:biological_process;'regulation of receptor signaling pathway via JAK-STAT:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of receptor signaling pathway via JAK-STAT:biological_process;'positive regulation of receptor signaling pathway via JAK-STAT:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
protein autophosphorylation:biological_process;'protein autophosphorylation:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
platelet-derived growth factor receptor signaling pathway:biological_process;'platelet-derived growth factor receptor signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
modulation of chemical synaptic transmission:biological_process;'modulation of chemical synaptic transmission:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of NK T cell proliferation:biological_process;'positive regulation of NK T cell proliferation:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of nitric-oxide synthase biosynthetic process:biological_process;'positive regulation of nitric-oxide synthase biosynthetic process:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction:biological_process;'positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
type II interferon-mediated signaling pathway:biological_process;'type II interferon-mediated signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
growth hormone receptor signaling pathway:biological_process;'growth hormone receptor signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
growth hormone receptor signaling pathway via JAK-STAT:biological_process;'growth hormone receptor signaling pathway via JAK-STAT:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of growth hormone receptor signaling pathway:biological_process;'positive regulation of growth hormone receptor signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
mammary gland epithelium development:biological_process;'mammary gland epithelium development:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
interleukin-6-mediated signaling pathway:biological_process;'interleukin-6-mediated signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of leukocyte proliferation:biological_process;'positive regulation of leukocyte proliferation:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
response to interleukin-12:biological_process;'response to interleukin-12:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
interleukin-35-mediated signaling pathway:biological_process;'interleukin-35-mediated signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
cellular response to lipopolysaccharide:biological_process;'cellular response to lipopolysaccharide:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
cellular response to dexamethasone stimulus:biological_process;'cellular response to dexamethasone stimulus:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
extrinsic apoptotic signaling pathway:biological_process;'extrinsic apoptotic signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway:biological_process;'activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
cellular response to virus:biological_process;'cellular response to virus:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
positive regulation of cold-induced thermogenesis:biological_process;'positive regulation of cold-induced thermogenesis:biological_process';'id';BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|NamedThing|ThingWithTaxon
